Fecha,nro_registro,nro_actualiza,nro_consulta,nro_elimina
2020-08-03 00:00:52,2,2,1,0
2020-08-03 00:00:53,7,4,2,0
2020-08-03 00:00:54,17,4,1,0
2020-08-03 00:00:55,9,3,0,0
2020-08-03 00:00:56,21,0,0,0
2020-08-03 00:00:57,18,0,0,0
2020-08-03 00:00:58,8,0,0,0
2020-08-03 00:01:13,7,5,5,0
2020-08-03 00:01:14,3,5,5,0
2020-08-03 00:01:15,5,1,2,0
2020-08-03 00:01:16,3,3,4,0
2020-08-03 00:01:17,5,0,3,0
2020-08-03 00:01:18,10,1,3,0
2020-08-03 00:01:19,4,0,2,0
2020-08-03 00:01:20,9,0,3,0
2020-08-03 00:01:21,10,0,2,0
2020-08-03 00:01:22,10,0,1,0
2020-08-03 00:01:23,21,0,0,0
2020-08-03 00:01:24,7,0,0,0
2020-08-03 00:01:25,12,0,0,0
2020-08-03 00:01:26,4,0,0,0
2020-08-03 00:01:43,5,5,2,0
2020-08-03 00:01:44,2,2,5,0
2020-08-03 00:01:45,4,2,2,0
2020-08-03 00:01:46,3,4,3,0
2020-08-03 00:01:47,0,1,2,0
2020-08-03 00:01:48,7,6,3,0
2020-08-03 00:01:49,6,5,3,0
2020-08-03 00:01:50,4,3,0,0
2020-08-03 00:01:51,13,6,0,0
2020-08-03 00:01:52,19,4,0,0
2020-08-03 00:01:53,11,1,0,0
2020-08-03 00:01:54,18,1,0,0
2020-08-03 00:01:55,4,0,0,0
2020-08-03 00:01:56,13,0,0,0
2020-08-03 00:01:57,1,0,0,0
2020-08-03 00:02:13,3,1,1,0
2020-08-03 00:02:14,4,6,5,0
2020-08-03 00:02:15,4,3,3,0
2020-08-03 00:02:16,4,3,3,0
2020-08-03 00:02:17,3,5,5,0
2020-08-03 00:02:18,3,3,3,0
2020-08-03 00:02:19,6,3,4,0
2020-08-03 00:02:20,4,6,4,0
2020-08-03 00:02:21,13,4,2,0
2020-08-03 00:02:22,16,1,0,0
2020-08-03 00:02:23,5,0,0,0
2020-08-03 00:02:24,28,0,0,0
2020-08-03 00:02:25,2,0,0,0
2020-08-03 00:02:43,5,5,1,5
2020-08-03 00:02:44,2,0,4,0
2020-08-03 00:02:45,2,2,1,1
2020-08-03 00:02:46,3,5,3,3
2020-08-03 00:02:47,2,1,3,4
2020-08-03 00:02:48,2,3,4,3
2020-08-03 00:02:49,5,3,4,4
2020-08-03 00:02:50,5,0,5,3
2020-08-03 00:02:51,7,1,8,1
2020-08-03 00:02:52,3,0,3,0
2020-08-03 00:02:53,10,0,5,1
2020-08-03 00:02:54,5,0,3,0
2020-08-03 00:02:55,8,0,2,0
2020-08-03 00:02:56,10,0,2,0
2020-08-03 00:02:57,9,0,1,0
2020-08-03 00:02:58,3,0,1,0
2020-08-03 00:02:59,8,0,0,0
2020-08-03 00:03:00,4,0,0,0
2020-08-03 00:03:01,2,0,0,0
2020-08-03 00:03:13,13,11,0,0
2020-08-03 00:03:14,9,7,0,0
2020-08-03 00:03:15,10,8,0,0
2020-08-03 00:03:16,9,3,0,0
2020-08-03 00:03:17,18,1,0,0
2020-08-03 00:03:18,19,0,0,0
2020-08-03 00:03:19,15,0,0,0
2020-08-03 00:03:20,7,0,0,0
2020-08-03 00:03:44,7,0,6,5
2020-08-03 00:03:45,3,0,3,0
2020-08-03 00:03:46,13,0,1,0
2020-08-03 00:03:47,22,0,0,0
2020-08-03 00:03:48,14,0,0,0
2020-08-03 00:03:49,11,0,0,0
2020-08-03 00:03:50,19,0,0,0
2020-08-03 00:03:51,10,0,0,0
2020-08-03 00:03:53,1,0,0,0
2020-08-03 00:04:13,5,5,4,4
2020-08-03 00:04:14,3,2,2,2
2020-08-03 00:04:15,2,3,3,3
2020-08-03 00:04:16,5,2,2,3
2020-08-03 00:04:17,3,6,5,2
2020-08-03 00:04:18,3,2,2,1
2020-08-03 00:04:19,0,1,3,0
2020-08-03 00:04:20,2,0,2,0
2020-08-03 00:04:21,9,2,3,0
2020-08-03 00:04:22,16,1,1,0
2020-08-03 00:04:23,11,1,2,0
2020-08-03 00:04:24,15,0,1,0
2020-08-03 00:04:25,15,0,0,0
2020-08-03 00:04:26,8,0,0,0
2020-08-03 00:04:27,3,0,0,0
2020-08-03 00:04:43,5,5,0,2
2020-08-03 00:04:44,4,2,7,5
2020-08-03 00:04:45,1,2,1,1
2020-08-03 00:04:46,3,0,4,4
2020-08-03 00:04:47,4,0,3,3
2020-08-03 00:04:48,3,1,3,3
2020-08-03 00:04:49,3,0,4,2
2020-08-03 00:04:50,10,0,4,3
2020-08-03 00:04:51,9,0,3,1
2020-08-03 00:04:52,8,0,5,1
2020-08-03 00:04:53,19,0,1,0
2020-08-03 00:04:54,15,0,0,0
2020-08-03 00:04:55,9,0,0,0
2020-08-03 00:04:56,7,0,0,0
2020-08-03 00:05:13,3,1,1,1
2020-08-03 00:05:14,3,4,2,2
2020-08-03 00:05:15,2,1,3,3
2020-08-03 00:05:16,4,5,3,3
2020-08-03 00:05:17,4,4,3,3
2020-08-03 00:05:18,2,1,4,4
2020-08-03 00:05:19,3,4,2,1
2020-08-03 00:05:20,2,3,3,2
2020-08-03 00:05:21,1,1,3,0
2020-08-03 00:05:22,5,1,4,0
2020-08-03 00:05:23,4,1,4,1
2020-08-03 00:05:24,3,1,1,0
2020-08-03 00:05:25,4,0,2,0
2020-08-03 00:05:26,10,1,2,0
2020-08-03 00:05:27,13,2,3,0
2020-08-03 00:05:28,10,0,3,0
2020-08-03 00:05:29,8,0,2,0
2020-08-03 00:05:31,11,0,0,0
2020-08-03 00:05:32,3,0,0,0
2020-08-03 00:05:43,5,5,4,4
2020-08-03 00:05:44,3,2,1,1
2020-08-03 00:05:45,2,2,2,0
2020-08-03 00:05:46,4,1,1,0
2020-08-03 00:05:47,10,2,2,0
2020-08-03 00:05:48,14,3,0,0
2020-08-03 00:05:49,19,0,0,0
2020-08-03 00:05:50,8,0,0,0
2020-08-03 00:05:51,7,0,0,0
2020-08-03 00:05:52,17,0,0,0
2020-08-03 00:05:54,10,0,0,0
2020-08-03 00:05:55,8,0,0,0
2020-08-03 00:05:56,3,0,0,0
2020-08-03 00:06:13,6,5,0,4
2020-08-03 00:06:14,11,10,0,1
2020-08-03 00:06:15,10,8,0,0
2020-08-03 00:06:16,15,7,0,0
2020-08-03 00:06:17,9,0,0,0
2020-08-03 00:06:18,4,0,0,0
2020-08-03 00:06:19,12,0,0,0
2020-08-03 00:06:20,13,0,0,0
2020-08-03 00:06:21,29,0,0,0
2020-08-03 00:06:22,1,0,0,0
2020-08-03 00:06:43,5,5,0,3
2020-08-03 00:06:44,0,0,4,1
2020-08-03 00:06:45,2,0,2,2
2020-08-03 00:06:46,5,0,6,6
2020-08-03 00:06:47,4,0,2,3
2020-08-03 00:06:48,3,0,4,3
2020-08-03 00:06:49,7,0,6,5
2020-08-03 00:06:50,2,0,4,2
2020-08-03 00:06:51,5,0,5,0
2020-08-03 00:06:52,6,0,3,0
2020-08-03 00:06:53,11,0,5,0
2020-08-03 00:06:54,14,0,0,0
2020-08-03 00:06:55,10,0,1,0
2020-08-03 00:06:56,10,0,1,0
2020-08-03 00:06:57,1,0,2,0
2020-08-03 00:06:59,8,0,0,0
2020-08-03 00:07:00,2,0,0,0
2020-08-03 00:07:13,6,6,4,4
2020-08-03 00:07:14,1,1,3,3
2020-08-03 00:07:15,4,3,1,1
2020-08-03 00:07:16,1,1,2,3
2020-08-03 00:07:17,7,8,7,3
