Fecha,MemoriaUsadaJVM(bytes)
2020-08-03 03:21:16,113792128
2020-08-03 03:21:26,90735008
2020-08-03 03:21:36,117403264
2020-08-03 03:21:46,134877856
2020-08-03 03:21:56,118245656
2020-08-03 03:22:06,114698232
2020-08-03 03:22:16,132086832
2020-08-03 03:22:26,141072456
2020-08-03 03:22:36,116583320
2020-08-03 03:22:46,128592952
2020-08-03 03:22:56,103244512
2020-08-03 03:23:06,96655144
2020-08-03 03:23:16,109117008
2020-08-03 03:23:26,89752240
2020-08-03 03:23:36,137730632
2020-08-03 03:23:46,121499984
2020-08-03 03:23:56,135100328
2020-08-03 03:24:06,136468568
2020-08-03 03:24:16,144376800
2020-08-03 03:24:26,131177696
2020-08-03 03:24:37,109051520
2020-08-03 03:24:47,115800568
2020-08-03 03:24:57,89522792
2020-08-03 03:25:07,140848896
2020-08-03 03:25:17,111000648
2020-08-03 03:25:27,88586312
2020-08-03 03:25:37,143261176
2020-08-03 03:25:47,141548056
2020-08-03 03:25:57,150087888
2020-08-03 03:26:07,143788848
2020-08-03 03:26:17,108259624
2020-08-03 03:26:27,98420576
2020-08-03 03:26:37,108364704
2020-08-03 03:26:47,150849864
2020-08-03 03:26:57,89541280
2020-08-03 03:27:07,91652208
2020-08-03 03:27:17,96796312
2020-08-03 03:27:27,136572944
2020-08-03 03:27:37,105966112
2020-08-03 03:27:47,136450072
2020-08-03 03:27:57,149140648
2020-08-03 03:28:07,106438592
2020-08-03 03:28:17,113716776
2020-08-03 03:28:27,97507160
2020-08-03 03:28:37,150484328
2020-08-03 03:28:47,136794600
2020-08-03 03:28:57,148724104
2020-08-03 03:29:07,135675096
2020-08-03 03:29:17,135398104
2020-08-03 03:29:27,93420064
2020-08-03 03:29:37,125969208
2020-08-03 03:29:47,143184440
2020-08-03 03:29:57,119881456
2020-08-03 03:30:07,121253040
2020-08-03 03:30:17,129697448
2020-08-03 03:30:27,125663816
2020-08-03 03:30:37,104233864
2020-08-03 03:30:47,124026280
2020-08-03 03:30:57,96157032
2020-08-03 03:31:07,103066616
2020-08-03 03:31:17,109637344
2020-08-03 03:31:27,142382272
2020-08-03 03:31:37,105061528
2020-08-03 03:31:47,113726808
2020-08-03 03:31:57,156937344
2020-08-03 03:32:07,95404496
2020-08-03 03:32:17,103119088
2020-08-03 03:32:27,145372816
2020-08-03 03:32:37,127599664
2020-08-03 03:32:47,108324960
2020-08-03 03:32:57,121980248
2020-08-03 03:33:07,123333192
2020-08-03 03:33:17,132791472
2020-08-03 03:33:27,118797920
2020-08-03 03:33:37,95540760
2020-08-03 03:33:47,113099632
2020-08-03 03:33:57,109182784
2020-08-03 03:34:07,148168680
2020-08-03 03:34:17,154865216
2020-08-03 03:34:27,117725896
2020-08-03 03:34:37,129372160
2020-08-03 03:34:47,137841600
2020-08-03 03:34:57,112269048
2020-08-03 03:35:07,127800088
2020-08-03 03:35:17,135729912
2020-08-03 03:35:28,106180400
2020-08-03 03:35:38,142022112
2020-08-03 03:35:48,127802384
2020-08-03 03:35:58,101598160
2020-08-03 03:36:08,139490416
2020-08-03 03:36:18,152472552
2020-08-03 03:36:28,120024728
2020-08-03 03:36:38,123402664
2020-08-03 03:36:48,129507864
2020-08-03 03:36:58,122583152
2020-08-03 03:37:08,98731664
2020-08-03 03:37:18,129746576
2020-08-03 03:37:28,98954416
2020-08-03 03:37:38,133815024
2020-08-03 03:37:48,142346976
2020-08-03 03:37:58,124635408
2020-08-03 03:38:08,96653592
2020-08-03 03:38:18,121358056
2020-08-03 03:38:28,103931552
