Fecha,CPU_Load,Memory_Used,Free_Memory
2020-08-03 00:21:01,0,42.47,2047
2020-08-03 00:21:11,0,42.49,2046
2020-08-03 00:21:21,0,42.47,2047
2020-08-03 00:21:31,0,42.38,2049
2020-08-03 00:21:41,0,42.4,2050
2020-08-03 00:22:01,0,42.33,2052
2020-08-03 00:22:11,0,42.35,2051
2020-08-03 00:22:21,4,42.36,2051
2020-08-03 00:22:31,0,42.36,2051
2020-08-03 00:22:41,0,42.34,2052
2020-08-03 00:22:51,4,42.26,2055
2020-08-03 00:23:01,0,42.26,2055
2020-08-03 00:23:11,2,42.22,2056
2020-08-03 00:23:21,0,42.24,2056
2020-08-03 00:23:31,0,42.18,2057
2020-08-03 00:23:41,0,42.16,2058
2020-08-03 00:23:51,0,42.17,2058
2020-08-03 00:24:01,0,42.2,2057
2020-08-03 00:24:11,0,42.16,2058
2020-08-03 00:24:21,0,42.48,2046
2020-08-03 00:24:41,0,42.18,2057
2020-08-03 00:24:51,0,42.14,2059
2020-08-03 00:25:01,0,42.15,2059
2020-08-03 00:25:11,0,42.14,2059
2020-08-03 00:25:21,0,42.15,2059
2020-08-03 00:25:31,0,42.14,2059
2020-08-03 00:25:41,0,42.14,2059
2020-08-03 00:26:01,0,42.08,2061
2020-08-03 00:26:11,0,42.07,2061
2020-08-03 00:26:21,0,42.05,2062
2020-08-03 00:26:31,0,42.04,2062
2020-08-03 00:26:41,0,42.04,2062
2020-08-03 00:26:51,2,41.98,2064
2020-08-03 00:27:01,0,41.94,2065
2020-08-03 00:27:11,0,41.97,2065
2020-08-03 00:27:21,0,41.97,2065
2020-08-03 00:27:31,0,41.91,2067
2020-08-03 00:27:41,0,41.9,2067
2020-08-03 00:27:51,0,41.91,2067
2020-08-03 00:28:01,0,41.89,2068
2020-08-03 00:28:11,0,41.88,2067
2020-08-03 00:28:21,0,41.88,2068
2020-08-03 00:28:31,0,41.89,2068
2020-08-03 00:28:41,0,41.89,2068
2020-08-03 00:28:51,4,41.83,2069
2020-08-03 00:29:01,0,41.82,2070
2020-08-03 00:29:11,0,41.82,2070
2020-08-03 00:29:21,0,41.79,2071
2020-08-03 00:29:31,0,42.09,2060
2020-08-03 00:29:41,0,41.74,2073
2020-08-03 00:29:51,0,41.75,2073
2020-08-03 00:30:01,23,42.27,2054
2020-08-03 00:30:21,40,42.77,2035
2020-08-03 00:30:31,51,43.04,2033
2020-08-03 00:30:51,36,43.47,2012
2020-08-03 00:31:01,34,44.32,1981
2020-08-03 00:31:21,54,44.53,1974
2020-08-03 00:31:31,19,44.8,1965
2020-08-03 00:31:41,0,43.96,1994
2020-08-03 00:31:51,0,43.94,1995
2020-08-03 00:32:01,0,43.95,1995
2020-08-03 00:32:11,0,43.94,1995
2020-08-03 00:32:21,2,43.94,1995
2020-08-03 00:32:41,0,43.92,1995
2020-08-03 00:32:51,4,43.87,1997
2020-08-03 00:33:11,0,43.76,2001
2020-08-03 00:33:21,2,43.74,2002
2020-08-03 00:33:31,0,43.66,2005
2020-08-03 00:33:41,0,43.59,2007
2020-08-03 00:33:51,2,43.47,2011
2020-08-03 00:34:01,0,43.37,2015
2020-08-03 00:34:11,0,43.27,2018
2020-08-03 00:34:21,0,43.18,2021
2020-08-03 00:34:31,0,43.15,2023
2020-08-03 00:34:41,4,43.12,2024
2020-08-03 00:34:51,2,43.03,2027
2020-08-03 00:35:01,0,42.96,2029
